location_name,description
Celadon City,"Celadon City is located in central Kanto. It is the most populous city in Kanto and the eighth most populous in the Pokémon world, surpassing even Saffron City in the east. The city has two entrances, one from the east via Route 7, and one from the west via Route 16."
Celadon Condominiums,"The Celadon Condominiums (Japanese: タマムシマンション Tamamushi Condominiums) is a four-floored building found in Celadon City that serves as Game Freak"s headquarters in Kanto."
Celadon Department Store, "The Celadon Department Store (Japanese: タマムシデパート Tamamushi Department Store) is the largest shop in Kanto. The store is six stories tall, including the roof."
Celadon Game Corner, "The Celadon Game Corner (Japanese: タマムシゲームコーナー Tamamushi Game Corner) is a Game Corner located in the southeastern part of Celadon City in the Kanto region. In games in which it is run by Team Rocket, it is known as the Rocket Game Corner (Japanese: ロケットゲームコーナー Rocket Game Corner), and is the location of the Team Rocket Hideout."
Cerulean Cave, "A mysterious cave that is filled with terribly tough Pokémon. It is so dangerous, the Pokémon League is in charge of it. A cave that had collapsed once. It has been reconstructed"
Cerulean City,"A beautiful city with flowing water and blooming flowers. The town surrounded by waterways. The Water-type Gym is located here."
Cinnabar Island, "Cinnabar Island (referred to in Japanese as both グレン島 Guren Island and グレンタウン Guren Town) is a large island located off the southern coast of the Kanto region, south of Pallet Town. It is home to a large volcano. Blaine was once the resident Gym Leader specializing in Fire-type Pokémon, but as of Generation IV, Cinnabar Island no longer has a Gym. Cinnabar is a kind of red mineral, associated with hot springs and volcanoes. The island is connected to the mainland by two water routes: Route 20 in the east and Route 21 in the north, leading to Fuchsia City and Pallet Town, respectively."
Cinnabar Lab, "The Cinnabar Lab (Japanese: グレンラボラトリー Guren Laboratory), called the Pokémon Lab (Japanese: ポケモン研究所 Pokémon Laboratory) is a facility located on Cinnabar Island."
Diglett's Cave, "Diglett's Cave (Japanese: ディグダの穴 Digda's Hole) is a long tunnel dug by wild Diglett and Dugtrio in Kanto. The northern entrance is on Route 2, south of Pewter City, and the southern entrance is on Route 11, near the eastern edge of Vermilion City (although in Generation II, it is located within Vermilion City). The passage is famous for connecting these two routes."
Fighting Dojo, "The Fighting Dojo (Japanese: 格闘道場 Fighting Dojo) is a former Pokémon Gym located in Saffron City."
Fuchsia City, "Fuchsia City (Japanese: セキチクシティ Sekichiku City) is a city located in southwest Kanto. Its most distinguishing features are the Safari Zone in the Generation I and III games and the Poison-type Gym. Koga is the Fuchsia City Gym Leader until his daughter Janine takes over in the Generation II and IV games."
Indigo Plateau, "The Indigo Plateau (Japanese: セキエイこうげん Sekiei Plateau) serves as the capital for the Pokémon League in the Kanto region. It is the final destination for Pokémon Trainers collecting Indigo or Johto League Badges. This is where the Trainers who have defeated all of the eight Gym Leaders of either Kanto or Johto battle against the Elite Four and the Pokémon Champion. In the anime, it is the location of the Indigo Plateau Conference, the Kanto Grand Festival, and the Pokémon League Village."
Power Plant, "The Power Plant (Japanese: 無人発電所 Abandoned Power Plant in Generations I, III, and VII, 発電所 Power Plant in Generations II and IV), occasionally referred to as the Kanto Power Plant (Japanese: カントーはつでんしょ Kanto Power Plant) in Generations II and IV, is a facility located on Route 10 in Kanto."
Safari Zone, "The Kanto Safari Zone (Japanese: サファリゾーン Safari Zone) is a special Pokémon preserve in Kanto that Trainers can enter to capture Pokémon. It is owned by Baoba."
Lavender Town,"Lavender Town (Japanese: シオンタウン Cion Town) is a small town located in northeast Kanto, just south of the Rock Tunnel."
Mt. Moon, "Mt. Moon (Japanese: お月見山 Mt. Otsukimi) is a mountain located in northern Kanto, between Pewter City in the west and Cerulean City in the east. It also provides access to Mt. Moon Square in Generations II and IV. Climbing does not seem to be possible; to get past it, travelers always need to travel through the caves."
Pallet Town,"Pallet Town (Japanese: マサラタウン Masara Town) is a small town located in southwestern Kanto. It is the hometown of the player and their rival in the Kanto-based games. In other games, it is specifically the hometown of Red and Blue. In the anime, it is the hometown of Ash and Gary. Professor Oak's Laboratory, where the famous Professor Oak conducts his research, is located in the town."
Pewter City, "Pewter City (Japanese: ニビシティ Nibi City) is a city located in northwestern Kanto. The most notable resident of the city is Brock, a Rock-type expert and the Leader of the Pewter Gym."
Pewter Museum of Science, "The Pewter Museum of Science (Japanese: ニビ科学博物館 Nibi Museum of Science) is located in the north side of Pewter City, Kanto, and is one of the city's main attractions. The Pewter Museum of Science hosts a wide range of attractions and exhibits, largely based around space and Fossil exploration. The museum holds a huge collection of artifacts, including rocks from the moon, space shuttles, and Fossils of ancient Pokémon. The admission is PokémonDollar.png50 for a child's ticket."
Pokémon League Reception Gate, "The Pokémon League Reception Gate (Japanese: ポケモンリーグうけつけゲート Pokémon League Reception Gate) is a large gate located in Kanto to the west of Route 22. The building serves as a Gym Badge checkpoint for both Kanto and Johto Trainers in these games."
Pokémon Mansion, "The Pokémon Mansion (Japanese: ポケモン屋敷 Pokémon Mansion) is a decrepit, burned-down mansion on Cinnabar Island. It got its name because a famous Pokémon researcher once lived there."
Pokémon Tower, "The Pokémon Tower (Japanese: ポケモンタワー Pokémon Tower) is a seven-story tower located in Lavender Town in the Kanto region. It is a burial ground for Pokémon."
Professor Oak's Laboratory, "Professor Oak's Laboratory (Japanese: オーキド研究所 Okido Institute), also called the Oak Pokémon Research Lab (Japanese: オーキド博士のポケモン研究所 Professor Oak's Pokémon Research Lab), is a Pokémon lab located in Pallet Town that is directed by Professor Samuel Oak. Its functions are to research Pokémon, unravel the mysteries surrounding them, and study their characteristics and behavior in a natural environment"
Rock Tunnel, "The Rock Tunnel (Japanese: イワヤマトンネル Rock Mountain Tunnel) is a naturally formed underground tunnel. Since it has not been developed, it is pitch black inside. A light of some sort is needed for travelers to find their way, so it is recommended that Pokémon Trainers bring along a Pokémon that can use Flash outside of battle."
Route 1,"Route 1 (Japanese: １番道路 Route 1) is a route located in western Kanto. It connects Pallet Town in the south to Viridian City in the north."
Route 2, "Route 2 (Japanese: ２番道路 Route 2) is a route located in western Kanto. It connects Viridian City in the south to Pewter City in the north. Viridian Forest and the northwestern terminus of Diglett"s Cave are located on this route."
Route 3, "Route 3 (Japanese: ３番道路 Route 3) is a route located in northwestern Kanto. It connects Pewter City in the west to Route 4 and Mt. Moon in the east."
Route 4, "Route 4 (Japanese: ４番道路 Route 4) is a route located in northern Kanto. It connects Route 3 and Mt. Moon in the west to Cerulean City in the east."
Route 5, "Route 5 (Japanese: ５番道路 Route 5) is a route located in northern Kanto. It connects Cerulean City in the north to Saffron City in the south. The northern terminus of the Underground Path is located on this route."
Route 6, "Route 6 (Japanese: ６番道路 Route 6) is a route located in central Kanto. It connects Saffron City in the north to Vermilion City in the south. The southern terminus of the Underground Path is located on this route."
Route 7, "Route 7 (Japanese: ７番道路 Route 7) is a route located in central Kanto. It connects Celadon City in the west to Saffron City in the east. The western terminus of the Underground Path is located on this route."
Route 8, "Route 8 (Japanese: ８番道路 Route 8) is a route located in eastern Kanto. It connects Saffron City in the west to Lavender Town in the east. The eastern terminus of the Underground Path is located on this route."
Route 9, "Route 9 (Japanese: ９番道路 Route 9) is a route located in northeastern Kanto. It connects Cerulean City in the west to Route 10 in the east."
Route 10, "Route 10 (Japanese: １０番道路 Route 10) is a route located in northeastern Kanto. It connects Route 9 in the north to Lavender Town in the south. The Rock Tunnel and Kanto Power Plant are located on this route."
Route 11, "Route 11 (Japanese: １１番道路 Route 11) is a route located in eastern Kanto. It connects Vermilion City in the west to Route 12 in the east. The southeastern terminus of Diglett"s Cave is located on this route."
Route 12, "Route 12 (Japanese: １２番道路 Route 12) is a route located in eastern Kanto. It connects Route 11 in the west to Lavender Town in the north and Route 13 in the south. The portion of this route south of the gate near Lavender Town is also known as Silence Bridge"
Route 13, "Route 13 (Japanese: １３番道路 Route 13) is a route located in southeastern Kanto. It connects Route 12 in the east to Route 14 in the west."
Route 14, "Route 14 (Japanese: １４番道路 Route 14) is a route located in southeastern Kanto. It connects Route 13 in the north to Route 15 in the south."
Route 15, "Route 15 (Japanese: １５番道路 Route 15) is a route located in southern Kanto. It connects Route 14 in the east to Fuchsia City in the west."
Route 16, "Route 16 (Japanese: １６番道路 Route 16) is a route located in central Kanto. It connects Celadon City in the east to Route 17 to the south."
Route 17, "Route 17 (Japanese: １７番道路 Route 17) is a route located in western Kanto. It connects Route 16 in the north to Route 18 in the south. In Generations I through IV, the route is also known as Cycling Road (Japanese: サイクリングロード Cycling Road), where only people with Bicycles or Motorcycles are permitted to travel on the road, making the route a favorite hangout for motorcyclists and bicyclists alike."
Route 18, "Route 18 (Japanese: １８番道路 Route 18) is a route located in southern Kanto. It connects Route 17 in the west to Fuchsia City in the east."
Route 19, "Route 19 (Japanese: １９番水道 Water Route 19), known as Sea Route 19 in Generation I and on a signpost in FireRed and LeafGreen, is a water route located in southern Kanto. It connects Fuchsia City in the north to Route 20 in the south."
Route 20, "Route 20 (Japanese: ２０番水道 Water Route 20), known as Sea Route 20 in Generation I, is a water route located in southern Kanto. It connects Route 19 in the east to Cinnabar Island in the west. The Seafoam Islands are located on this route."
Route 21, "Route 21 (Japanese: ２１番水道 Water Route 21), known as Sea Route 21 in Generation I, is a water route located in southwestern Kanto. It connects Cinnabar Island in the south to Pallet Town in the north."
Route 22, "Route 22 (Japanese: ２２番道路 Route 22) is a route located in western Kanto. It connects Viridian City in the east to the Pokémon League Reception Gate in the west."
Route 23, "Route 23 (Japanese: ２３番道路 Route 23), is a route located in western Kanto. It connects the Pokémon League Reception Gate in the south to Indigo Plateau in the north. Victory Road is located on this route."
Route 24, "Route 24 (Japanese: ２４番道路 Route 24) is a route located in northern Kanto. It connects Cerulean City in the south to Route 25 in the north."
Route 25, "Route 25 (Japanese: ２５番道路 Route 25) is a route located in northeastern Kanto. It connects to Route 24 in the west. The Sea Cottage is located on this route, at the eastern end."
S.S. Anne, "The S.S. Anne (Japanese: サント・アンヌ号 St. Annu) is a well-known luxury cruise liner which sails the world, stopping annually in Vermilion City, Kanto."
Saffron City, "Saffron City (Japanese: ヤマブキシティ Yamabuki City) is a sprawling metropolis in the Kanto region. It lies in between Celadon City, Vermilion City, Lavender Town, and Cerulean City. It is home to Sabrina, the city"s Gym Leader."
Sea Cottage, "The Sea Cottage (Japanese: 岬の小屋 Cape Cottage) is a small building located in the northeast of Kanto on Route 25. It is on Cerulean Cape and is home to Bill."
Seafoam Islands, "The Seafoam Islands (Japanese: 双子島 Twin Islands) are a pair of islands that are situated on Route 20. The two islands are shaped the same, as if they were twins."
Silph Co., "The Silph Co. (Japanese: シルフカンパニー Sylph Company), also known as simply Silph (Japanese: シルフ Sylph), is a company headquartered at the Silph Co. Office Building or Silph Co. Head Office"
Team Rocket Hideout, "The Team Rocket Hideout (Japanese: ロケット団アジト Team Rocket Hideout), called Rocket Hideout in the Generation I and III games, and also known as Rocket HQ in the Generation I Town Map, is a four-floored underground complex beneath the Rocket Game Corner in Celadon City. It is a secret base built and used by Team Rocket to facilitate and administer their operations."
Underground Path (Kanto Routes 5-6), "The Underground Path (Japanese: 地下通路 Underground Path) between Routes 5 and 6 is located directly underneath Saffron City and terminates just to the north and to the south of Saffron City."
Underground Path (Kanto Routes 7-8), "The Underground Path (Japanese: 地下通路 Underground Path) between Routes 7 and 8 is located directly underneath Saffron City and terminates just to the east and to the west of Saffron City."
Vermilion City, "Vermilion City (Japanese: クチバシティ Kuchiba City) is a city in Kanto. Situated near a sea inlet to the south, it serves as a popular sea port for ships such as the S.S. Anne. Vermilion Harbor is a home port for many ships. The S.S. Anne sails around the world and returns to Vermilion once a year."
Victory Road, "Victory Road (Japanese: チャンピオンロード Champion Road) is a tunnel situated on Route 23. It earned its name because it must be traveled by all Trainers aiming for the top. Its other end opens up in Indigo Plateau and the Pokémon League. "
Viridian City, "Viridian City (Japanese: トキワシティ Tokiwa City) is a small city located in western Kanto. It is home to the Viridian Gym, which can only be challenged by the player once they have obtained the Badges of the seven other Gyms of Kanto."
Viridian Forest, "Viridian Forest (Japanese: トキワの森 Tokiwa Forest) is a forest which lies between Viridian City and Pewter City in the middle of Route 2 with both the north and south entrances of Viridian Forest open to the route. The deep and sprawling forest is said to be a natural maze as many people get lost inside. The trees in the forest are so thick that little light gets in, and because of this the forest is full of Bug- and Flying-type Pokémon that attract Bug Catchers and other Trainers."
